scen,iter,col,category,count
pvalloc_LRG3_max_1hll,6,heatpump_TF,heatpump,455
pvalloc_LRG3_max_1hll,6,heatpump_TF,no_heatpump,1675
pvalloc_LRG3_max_1hll,6,filter_tag,south_40pr,218
pvalloc_LRG3_max_1hll,6,filter_tag,eastwest_80pr,215
pvalloc_LRG3_max_1hll,6,filter_tag,south_50pr,230
pvalloc_LRG3_max_1hll,6,filter_tag,na,1397
pvalloc_LRG3_max_1hll,6,filter_tag,eastwest_70pr,70
pvalloc_LRG3_max_1hll,7,GKLAS,1110,2165
pvalloc_LRG3_max_1hll,7,GKLAS,1122,477
pvalloc_LRG3_max_1hll,7,GKLAS,1121,254
pvalloc_LRG3_max_1hll,7,are_typ,Suburban,1015
pvalloc_LRG3_max_1hll,7,are_typ,Urban,1170
pvalloc_LRG3_max_1hll,7,are_typ,Rural,711
pvalloc_LRG3_max_1hll,7,heatpump_TF,no_heatpump,2359
pvalloc_LRG3_max_1hll,7,heatpump_TF,heatpump,537
pvalloc_LRG3_max_1hll,7,filter_tag,south_50pr,329
pvalloc_LRG3_max_1hll,7,filter_tag,eastwest_70pr,120
pvalloc_LRG3_max_1hll,7,filter_tag,south_40pr,294
pvalloc_LRG3_max_1hll,7,filter_tag,na,1827
pvalloc_LRG3_max_1hll,7,filter_tag,eastwest_80pr,326
pvalloc_LRG3_max_1hll,8,GKLAS,1122,447
pvalloc_LRG3_max_1hll,8,GKLAS,1110,3068
pvalloc_LRG3_max_1hll,8,GKLAS,1121,300
pvalloc_LRG3_max_1hll,8,are_typ,Suburban,1219
pvalloc_LRG3_max_1hll,8,are_typ,Urban,1773
pvalloc_LRG3_max_1hll,8,are_typ,Rural,823
pvalloc_LRG3_max_1hll,8,heatpump_TF,no_heatpump,3425
pvalloc_LRG3_max_1hll,8,heatpump_TF,heatpump,390
pvalloc_LRG3_max_1hll,8,filter_tag,south_50pr,449
pvalloc_LRG3_max_1hll,8,filter_tag,na,2487
pvalloc_LRG3_max_1hll,8,filter_tag,south_40pr,393
pvalloc_LRG3_max_1hll,8,filter_tag,eastwest_70pr,145
pvalloc_LRG3_max_1hll,8,filter_tag,eastwest_80pr,341
pvalloc_LRG3_max_1hll,9,GKLAS,1121,296
pvalloc_LRG3_max_1hll,9,GKLAS,1122,161
