n_iter,feedin_atnode_loss_kW,feedin_atnode_taken_kW,demand_atnode_kW,feedin_atnode_kW,TotalPower,n_EGID_pvinst,ratio_EGID_pvinst,scen
21,8041673.145025323,165851543.23350906,144686459.74304676,173893216.37853438,0.0,0,0.9939944486500126,pvalloc_LRG3_max
22,8041673.145025323,165851543.23350906,144686459.74304676,173893216.37853438,0.0,0,0.9939944486500126,pvalloc_LRG3_max
23,8041673.145025323,165851543.23350906,144686459.74304676,173893216.37853438,0.0,0,0.9939944486500126,pvalloc_LRG3_max
24,8041673.145025323,165851543.23350906,144686459.74304676,173893216.37853438,0.0,0,0.9939944486500126,pvalloc_LRG3_max
25,8041673.145025323,165851543.23350906,144686459.74304676,173893216.37853438,0.0,0,0.9939944486500126,pvalloc_LRG3_max
26,8041673.145025323,165851543.23350906,144686459.74304676,173893216.37853438,0.0,0,0.9939944486500126,pvalloc_LRG3_max
27,8041673.145025323,165851543.23350906,144686459.74304676,173893216.37853438,0.0,0,0.9939944486500126,pvalloc_LRG3_max
28,8041673.145025323,165851543.23350906,144686459.74304676,173893216.37853438,0.0,0,0.9939944486500126,pvalloc_LRG3_max
29,8041673.145025323,165851543.23350906,144686459.74304676,173893216.37853438,0.0,0,0.9939944486500126,pvalloc_LRG3_max
30,8041673.145025323,165851543.23350906,144686459.74304676,173893216.37853438,0.0,0,0.9939944486500126,pvalloc_LRG3_max
1,0.0,15682659.027634766,196046875.3656719,15682659.027634766,5726.081771972899,368,0.01857178904870048,pvalloc_LRG3_max_1hll
2,0.0,19442652.171120822,193314915.26420462,19442652.171120822,7297.145047165114,526,0.04511733535200606,pvalloc_LRG3_max_1hll
3,0.0,24987767.11028193,190522784.9064951,24987767.11028193,9290.41590584313,698,0.08034317436285643,pvalloc_LRG3_max_1hll
4,0.0,32186212.83756702,187162827.46746796,32186212.83756702,11799.349873870564,972,0.1293969215240979,pvalloc_LRG3_max_1hll
5,0.0,41515331.14490841,183126718.8471639,41515331.14490841,14938.978110238633,1286,0.19429724955841535,pvalloc_LRG3_max_1hll
6,0.0,53396980.14894351,178141453.61481392,53396980.14894351,18861.011505147693,1790,0.2846328538985617,pvalloc_LRG3_max_1hll
7,3254.706425400072,68448852.88519683,172242294.39286467,68452107.59162222,23684.863749968652,2384,0.4049457481705778,pvalloc_LRG3_max_1hll
8,5037.954575220607,87755431.3164244,165336628.7291897,87760469.27099961,29595.557004330196,3131,0.5629573555387333,pvalloc_LRG3_max_1hll
9,158128.8465607644,112390833.06110813,158098220.7253625,112548961.9076689,36732.73860056981,4395,0.7847590209437295,pvalloc_LRG3_max_1hll
10,591409.4568379718,143720485.53255728,151292621.2732107,144311894.98939526,5230.685082008203,636,0.8168559172344184,pvalloc_LRG3_max_1hll
11,593048.8740018017,148142297.14202854,150361324.61045393,148735346.01603034,0.0,0,0.8168559172344184,pvalloc_LRG3_max_1hll
12,593048.8740018017,148142297.14202854,150361324.61045393,148735346.01603034,0.0,0,0.8168559172344184,pvalloc_LRG3_max_1hll
13,593048.8740018017,148142297.14202854,150361324.61045393,148735346.01603034,0.0,0,0.8168559172344184,pvalloc_LRG3_max_1hll
14,593048.8740018017,148142297.14202854,150361324.61045393,148735346.01603034,0.0,0,0.8168559172344184,pvalloc_LRG3_max_1hll
15,593048.8740018017,148142297.14202854,150361324.61045393,148735346.01603034,0.0,0,0.8168559172344184,pvalloc_LRG3_max_1hll
16,593048.8740018017,148142297.14202854,150361324.61045393,148735346.01603034,0.0,0,0.8168559172344184,pvalloc_LRG3_max_1hll
17,593048.8740018017,148142297.14202854,150361324.61045393,148735346.01603034,0.0,0,0.8168559172344184,pvalloc_LRG3_max_1hll
18,593048.8740018017,148142297.14202854,150361324.61045393,148735346.01603034,0.0,0,0.8168559172344184,pvalloc_LRG3_max_1hll
