scen,iter,col,category,count
pvalloc_29nbfs_LRG2_max,7,filter_tag,na,2950
pvalloc_29nbfs_LRG2_max,7,filter_tag,eastwest_70pr,279
pvalloc_29nbfs_LRG2_max,8,GKLAS,1121,7
pvalloc_29nbfs_LRG2_max,8,GKLAS,1122,15
pvalloc_29nbfs_LRG2_max,8,GKLAS,1110,2212
pvalloc_29nbfs_LRG2_max,8,are_typ,Urban,1596
pvalloc_29nbfs_LRG2_max,8,are_typ,Suburban,582
pvalloc_29nbfs_LRG2_max,8,are_typ,Rural,56
pvalloc_29nbfs_LRG2_max,8,heatpump_TF,no_heatpump,2221
pvalloc_29nbfs_LRG2_max,8,heatpump_TF,heatpump,13
pvalloc_29nbfs_LRG2_max,8,filter_tag,eastwest_70pr,181
pvalloc_29nbfs_LRG2_max,8,filter_tag,south_50pr,45
pvalloc_29nbfs_LRG2_max,8,filter_tag,south_40pr,78
pvalloc_29nbfs_LRG2_max,8,filter_tag,na,1456
pvalloc_29nbfs_LRG2_max,8,filter_tag,eastwest_80pr,474
pvalloc_29nbfs_LRG2_max_sAs2p0,1,GKLAS,1110,114
pvalloc_29nbfs_LRG2_max_sAs2p0,1,GKLAS,1121,42
pvalloc_29nbfs_LRG2_max_sAs2p0,1,GKLAS,1122,497
pvalloc_29nbfs_LRG2_max_sAs2p0,1,are_typ,Urban,349
pvalloc_29nbfs_LRG2_max_sAs2p0,1,are_typ,Rural,63
pvalloc_29nbfs_LRG2_max_sAs2p0,1,are_typ,Suburban,241
pvalloc_29nbfs_LRG2_max_sAs2p0,1,heatpump_TF,heatpump,204
pvalloc_29nbfs_LRG2_max_sAs2p0,1,heatpump_TF,no_heatpump,449
pvalloc_29nbfs_LRG2_max_sAs2p0,1,filter_tag,na,397
pvalloc_29nbfs_LRG2_max_sAs2p0,1,filter_tag,south_50pr,62
pvalloc_29nbfs_LRG2_max_sAs2p0,1,filter_tag,eastwest_70pr,31
pvalloc_29nbfs_LRG2_max_sAs2p0,1,filter_tag,eastwest_80pr,72
pvalloc_29nbfs_LRG2_max_sAs2p0,1,filter_tag,south_40pr,91
pvalloc_29nbfs_LRG2_max_sAs2p0,2,GKLAS,1121,65
pvalloc_29nbfs_LRG2_max_sAs2p0,2,GKLAS,1110,364
pvalloc_29nbfs_LRG2_max_sAs2p0,2,GKLAS,1122,650
pvalloc_29nbfs_LRG2_max_sAs2p0,2,are_typ,Urban,509
pvalloc_29nbfs_LRG2_max_sAs2p0,2,are_typ,Suburban,409
pvalloc_29nbfs_LRG2_max_sAs2p0,2,are_typ,Rural,161
pvalloc_29nbfs_LRG2_max_sAs2p0,2,heatpump_TF,heatpump,399
pvalloc_29nbfs_LRG2_max_sAs2p0,2,heatpump_TF,no_heatpump,680
pvalloc_29nbfs_LRG2_max_sAs2p0,2,filter_tag,south_40pr,118
pvalloc_29nbfs_LRG2_max_sAs2p0,2,filter_tag,eastwest_70pr,52
pvalloc_29nbfs_LRG2_max_sAs2p0,2,filter_tag,na,595
pvalloc_29nbfs_LRG2_max_sAs2p0,2,filter_tag,eastwest_80pr,239
pvalloc_29nbfs_LRG2_max_sAs2p0,2,filter_tag,south_50pr,75
pvalloc_29nbfs_LRG2_max_sAs2p0,3,GKLAS,1121,79
pvalloc_29nbfs_LRG2_max_sAs2p0,3,GKLAS,1122,825
pvalloc_29nbfs_LRG2_max_sAs2p0,3,GKLAS,1110,772
pvalloc_29nbfs_LRG2_max_sAs2p0,3,are_typ,Suburban,609
pvalloc_29nbfs_LRG2_max_sAs2p0,3,are_typ,Rural,239
pvalloc_29nbfs_LRG2_max_sAs2p0,3,are_typ,Urban,828
pvalloc_29nbfs_LRG2_max_sAs2p0,3,heatpump_TF,heatpump,678
pvalloc_29nbfs_LRG2_max_sAs2p0,3,heatpump_TF,no_heatpump,998
pvalloc_29nbfs_LRG2_max_sAs2p0,3,filter_tag,south_50pr,123
pvalloc_29nbfs_LRG2_max_sAs2p0,3,filter_tag,eastwest_70pr,114
pvalloc_29nbfs_LRG2_max_sAs2p0,3,filter_tag,eastwest_80pr,361
pvalloc_29nbfs_LRG2_max_sAs2p0,3,filter_tag,na,855
pvalloc_29nbfs_LRG2_max_sAs2p0,3,filter_tag,south_40pr,223
pvalloc_29nbfs_LRG2_max_sAs2p0,4,GKLAS,1110,1515
pvalloc_29nbfs_LRG2_max_sAs2p0,4,GKLAS,1122,642
pvalloc_29nbfs_LRG2_max_sAs2p0,4,GKLAS,1121,201
pvalloc_29nbfs_LRG2_max_sAs2p0,4,are_typ,Suburban,872
pvalloc_29nbfs_LRG2_max_sAs2p0,4,are_typ,Urban,1191
pvalloc_29nbfs_LRG2_max_sAs2p0,4,are_typ,Rural,295
pvalloc_29nbfs_LRG2_max_sAs2p0,4,heatpump_TF,no_heatpump,1682
pvalloc_29nbfs_LRG2_max_sAs2p0,4,heatpump_TF,heatpump,676
pvalloc_29nbfs_LRG2_max_sAs2p0,4,filter_tag,eastwest_70pr,140
pvalloc_29nbfs_LRG2_max_sAs2p0,4,filter_tag,na,1402
pvalloc_29nbfs_LRG2_max_sAs2p0,4,filter_tag,eastwest_80pr,376
pvalloc_29nbfs_LRG2_max_sAs2p0,4,filter_tag,south_50pr,165
