n_iter,feedin_atnode_loss_kW,demand_atnode_kW,feedin_atnode_kW,TotalPower,n_EGID_pvinst,ratio_EGID_pvinst,scen
4,221.5952618,443204453.3,21350573.27,18333.90559,1674,0.301973871,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
5,221.5952618,430263221.4,29434433.47,21138.64834,2225,0.459954558,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
6,74415.08091,416220089.8,39494819.49,23965.55413,2947,0.669199091,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
7,299745.1812,401578301.8,51794070.87,19093.74569,2644,0.856929849,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
8,535025.3097,390839612.8,61197646.33,0,0,0.856929849,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
9,535025.3097,390839612.8,61197646.33,0,0,0.856929849,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
10,535025.3097,390839612.8,61197646.33,0,0,0.856929849,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
11,535025.3097,390839612.8,61197646.33,0,0,0.856929849,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
12,535025.3097,390839612.8,61197646.33,0,0,0.856929849,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
13,535025.3097,390839612.8,61197646.33,0,0,0.856929849,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
14,535025.3097,390839612.8,61197646.33,0,0,0.856929849,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
15,535025.3097,390839612.8,61197646.33,0,0,0.856929849,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
16,535025.3097,390839612.8,61197646.33,0,0,0.856929849,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
17,535025.3097,390839612.8,61197646.33,0,0,0.856929849,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
18,535025.3097,390839612.8,61197646.33,0,0,0.856929849,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
19,535025.3097,390839612.8,61197646.33,0,0,0.856929849,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
20,535025.3097,390839612.8,61197646.33,0,0,0.856929849,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
21,535025.3097,390839612.8,61197646.33,0,0,0.856929849,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
22,535025.3097,390839612.8,61197646.33,0,0,0.856929849,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
23,535025.3097,390839612.8,61197646.33,0,0,0.856929849,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
24,535025.3097,390839612.8,61197646.33,0,0,0.856929849,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
25,535025.3097,390839612.8,61197646.33,0,0,0.856929849,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
26,535025.3097,390839612.8,61197646.33,0,0,0.856929849,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
27,535025.3097,390839612.8,61197646.33,0,0,0.856929849,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
28,535025.3097,390839612.8,61197646.33,0,0,0.856929849,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
29,535025.3097,390839612.8,61197646.33,0,0,0.856929849,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
30,535025.3097,390839612.8,61197646.33,0,0,0.856929849,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
1,0,474762361.4,7231392.597,11521.53778,540,0.03834138,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
2,0,465472061.5,10995786.5,12808.487,824,0.096847487,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
3,0,455135684.1,15391008.11,15562.76692,1207,0.182547572,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
4,827.5241953,443347429.9,21407317.35,18337.02919,1663,0.300624822,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
5,827.5241953,430542285.2,29488700.1,21134.27578,2230,0.458960523,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
6,54851.07,416539479.5,39573641.32,23961.77468,2964,0.669412099,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
7,280338.487,401809268,51848605.94,18812.23773,2605,0.854373757,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
8,523888.0118,391091522.8,61070784.14,0,0,0.854373757,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
9,523888.0118,391091522.8,61070784.14,0,0,0.854373757,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
10,523888.0118,391091522.8,61070784.14,0,0,0.854373757,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
11,523888.0118,391091522.8,61070784.14,0,0,0.854373757,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
12,523888.0118,391091522.8,61070784.14,0,0,0.854373757,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
13,523888.0118,391091522.8,61070784.14,0,0,0.854373757,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
14,523888.0118,391091522.8,61070784.14,0,0,0.854373757,pvalloc_29nbfs_LRG2_max_1hll_sAs6p0
